wpid,wpdobstr,wpdob
22356659,"November 12, 1974",1974-11-12
33176163,"April 26, 1959",1959-04-26
38763651,"June 6, 1973",1973-06-06
44198492,"April 29, 1970",1970-04-29
44199228,"May 18, 1969",1969-05-18
45272341,"May 30, 1963",1963-05-30
53761730,"October 28, 1964",1964-10-28
54366665,"June 13, 1959",1959-06-13
56539292,"September 10, 1966",1966-09-10
63132378,"May 1, 1963",1963-05-01
63556783,"December 20, 1964",1964-12-20
7161476,"November 23, 1962",1962-11-23
8767262,"November 9, 1965",1965-11-09
9530834,"October 15, 1956",1956-10-15
