pageid,title,wikidata,label
7161476,Nicolás Maduro,Q58132,Nicolás Maduro
8767262,Jorge Rodríguez (Venezuelan politician),Q3295308,Jorge Rodríguez
9530834,Cilia Flores,Q799556,Cilia Flores
22356659,Tareck El Aissami,Q506399,Tareck El Aissami
33176163,Tibisay Lucena,Q6146383,Tibisay Lucena
38763651,Jorge Arreaza,Q6623799,Jorge Arreaza
44198492,Ernesto Villegas,Q3788643,Ernesto Villegas
44199228,Delcy Rodríguez,Q15081116,Delcy Rodríguez
45272341,Vladimir Padrino López,Q19519696,Vladimir Padrino López
53761730,Néstor Reverol,Q6047488,Néstor Reverol
54366665,Samuel Moncada,Q30505969,Samuel Moncada
56539292,Rodolfo Marco Torres,Q16301804,Rodolfo Marco Torres
63132378,Remigio Ceballos,Q85383854,Remigio Ceballos
63556783,Juan Pablo Guanipa,Q5951793,Juan Pablo Guanipa
68364947,Jorge Elieser Márquez,Q77892039,Jorge Márquez
68383305,Ricardo José Menéndez Prieto,Q6108259,Ricardo José Menéndez Prieto
68386503,Freddy Ñáñez,Q22133019,Freddy Ñáñez
71632188,Gabriela Jiménez Ramírez,Q106975980,Gabriela Jiménez
