item,itemLabel,position,positionLabel,startDate,endDate
Q77892039,Jorge Elieser Márquez,,Ministerio del Poder Popular del Despacho de la Presidencia y Seguimiento de la Gestión de Gobierno,2017-10-26,
Q85383854,Remigio Ceballos,,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz",2021-08-19,
Q12176661,Yván Gil,,Ministerio del Poder Popular para Relaciones Exteriores,2023-01-06,
Q15081116,Delcy Rodríguez,,"Ministerio del Poder Popular de Economía, Finanzas y Comercio Exterior",2020-09-10,
Q19519696,Vladimir Padrino López,,Ministerio del Poder Popular para la Defensa,2014-09-03,
,Alí Padrón Paredes,,Ministerio del Poder Popular para el Turismo,2020-10-25,
Q6167867,Wilmar Castro Soteldo,,Ministerio del Poder Popular para la Agricultura Productiva y las Tierras,2016-01-06,
,Juan Carlos Loyo,,Ministerio del Poder Popular para la Pesca y Acuicultura,2022-04-22,
,Greicys Dayamni Barrios,,Ministerio del Poder Popular de Agricultura Urbana,2020-09-04,
Q6169921,Yelitze Santaella,,Ministerio del Poder Popular para la Educación,2021-08-19,
,Magaly Gutiérrez Viña,,Ministerio del Poder Popular para la Salud,2022-02-09,
Q28503440,Francisco Torrealba,,Ministerio del Poder Popular para el Proceso Social del Trabajo,2022-05-16,
,Ildemaro Moisés Villarroel Arismendi,,Ministerio del Poder Popular para Hábitat y Vivienda,2017-11-26,
,Josué Alejandro Lorca,,Ministerio del Poder Popular para el Ecosocialismo,2021-04-22,
Q506399,Tareck El Aissami,,Ministerio del Poder Popular de Petróleo,2020-04-27,
Q6108259,Ricardo José Menéndez Prieto,,Ministerio del Poder Popular de Planificación,2014-06-17,
Q6146383,Tibisay Lucena,,Ministerio del Poder Popular para la Educación Universitaria,2021-10-19,
,Gabriela Jiménez Ramírez,,Ministerio del Poder Popular para la Ciencia y Tecnología,2019-06-06,
Q22133019,Freddy Ñáñez,,Ministerio del Poder Popular para la Comunicación e Información,2020-09-04,
Q6623799,Jorge Arreaza,,Ministerio del Poder Popular para las Comunas y los Movimientos Sociales,2022-02-04,
,Carlos Leal Tellería,,Ministerio del Poder Popular para la Alimentación,2019-04-15,
Q3788643,Ernesto Villegas,,Ministerio del Poder Popular para la Cultura,2017-11-03,
,Mervin Maldonado,,Ministerio del Poder Popular para la Juventud y el Deporte,2020-09-04,
,Clara Vidal,,Ministerio del Poder Popular para los Pueblos Indígenas,2022-02-09,
,Diva Guzmán,,Ministerio del Poder Popular para la Mujer y la Igualdad de Género,2022-02-09,
,Mirelys Contreras,,Ministerio del Poder Popular para el Servicio Penitenciario,2020-09-04,
,Raúl Alfonso Paredes,,Ministerio del Poder Popular para Obras Públicas,2018-06-14,
Q28503444,Ramón Celestino Velázquez,,Ministerio del Poder Popular para Transporte,2022-05-16,
Q6047488,Néstor Reverol,,Ministerio del Poder Popular para la Energía Eléctrica,2020-10-25,
Q98280254,William Serantes Pinto,,Ministerio del Poder Popular de Desarrollo Minero Ecológico,2021-08-19,
Q16301804,Rodolfo Marco Torres,,Ministerio del Poder Popular para la Atención de las Aguas,2021-09-17,
,Hipólito Abreu,,Ministerio del Poder Popular de Industrias y Producción Nacional,2022-05-16,
,Dheliz Álvarez,,Ministerio del Poder Popular para el Comercio Nacional,2021-10-19,
