item,itemLabel,startDate,endDate
Q466806,Willian Lara,2000-08-10,2003-01-05
Q5865064,Francisco Ameliach,2003-01-05,2005-01-05
Q58132,Nicolás Maduro,2005-01-05,2006-08-07
Q799556,Cilia Flores,2006-08-15,2011-01-05
Q5839772,Fernando Soto Rojas,2011-01-05,2012-01-05
Q1227076,Diosdado Cabello,2012-01-05,2016-01-05
Q5894576,Henry Ramos Allup,2016-01-05,2017-01-05
Q951338,Julio Borges,2017-01-05,2018-01-05
Q3438429,Omar Barboza,2018-01-05,2019-01-05
Q58833335,Juan Guaidó,2019-01-05,
Q81101807,Luis Parra,2020-01-05,2021-01-05
Q3295308,Jorge Rodríguez,2021-01-05,
